,Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscriber Type,Zip Code
0,913460,765,8/31/2015 23:26,Harry Bridges Plaza (Ferry Building),50,8/31/2015 23:39,San Francisco Caltrain (Townsend at 4th),70.0,288.0,Subscriber,2139
1,913459,1036,8/31/2015 23:11,San Antonio Shopping Center,31,8/31/2015 23:28,Mountain View City Hall,27.0,35.0,Subscriber,95032
2,913455,307,8/31/2015 23:13,Post at Kearny,47,8/31/2015 23:18,2nd at South Park,64.0,468.0,Subscriber,94107
3,913454,409,8/31/2015 23:10,San Jose City Hall,10,8/31/2015 23:17,San Salvador at 1st,8.0,68.0,Subscriber,95113
4,913453,789,8/31/2015 23:09,Embarcadero at Folsom,51,8/31/2015 23:22,Embarcadero at Sansome,60.0,487.0,Customer,9069
5,913452,293,8/31/2015 23:07,Yerba Buena Center of the Arts (3rd @ Howard),68,8/31/2015 23:12,San Francisco Caltrain (Townsend at 4th),70.0,538.0,Subscriber,94118
6,913451,896,8/31/2015 23:07,Embarcadero at Folsom,51,8/31/2015 23:22,Embarcadero at Sansome,60.0,363.0,Customer,92562
7,913450,255,8/31/2015 22:16,Embarcadero at Sansome,60,8/31/2015 22:20,Steuart at Market,74.0,470.0,Subscriber,94111
8,913449,126,8/31/2015 22:12,Beale at Market,56,8/31/2015 22:15,Temporary Transbay Terminal (Howard at Beale),55.0,439.0,Subscriber,94130
9,913448,932,8/31/2015 21:57,Post at Kearny,47,8/31/2015 22:12,South Van Ness at Market,66.0,472.0,Subscriber,94702
10,913443,691,8/31/2015 21:49,Embarcadero at Sansome,60,8/31/2015 22:01,Market at Sansome,77.0,434.0,Subscriber,94109
11,913442,633,8/31/2015 21:44,Market at 10th,67,8/31/2015 21:54,San Francisco Caltrain (Townsend at 4th),70.0,531.0,Subscriber,94107
12,913441,387,8/31/2015 21:39,Market at 4th,76,8/31/2015 21:46,Grant Avenue at Columbus Avenue,73.0,383.0,Subscriber,94104
13,913440,281,8/31/2015 21:31,Market at Sansome,77,8/31/2015 21:36,Broadway St at Battery St,82.0,621.0,Subscriber,94107
14,913435,424,8/31/2015 21:25,Temporary Transbay Terminal (Howard at Beale),55,8/31/2015 21:33,San Francisco Caltrain 2 (330 Townsend),69.0,602.0,Subscriber,94401
15,913434,283,8/31/2015 21:19,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 21:24,Townsend at 7th,65.0,521.0,Subscriber,94107
16,913433,145,8/31/2015 21:17,University and Emerson,35,8/31/2015 21:20,Cowper at University,37.0,75.0,Customer,6907
17,913432,703,8/31/2015 21:16,Spear at Folsom,49,8/31/2015 21:28,San Francisco Caltrain 2 (330 Townsend),69.0,426.0,Subscriber,95032
18,913431,605,8/31/2015 21:11,Temporary Transbay Terminal (Howard at Beale),55,8/31/2015 21:21,Grant Avenue at Columbus Avenue,73.0,572.0,Subscriber,94133
